#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Device(504)";504;"GTBQIDMCRC";8;504;;;;;;;;;;;;
"Schedule(3004402)";504;"GTBQIDMCRC/Programming.Alarmes.alarme non urgente horaire";17;3004402;;;;N;;;;
"Schedule(3001508)";504;"GTBQIDMCRC/Programming.poutre.antilegionellose-horaire";17;3001508;;;;N;;;;
"Schedule(3001314)";504;"GTBQIDMCRC/Programming.Ventil.ventilateur-sanitaire-horaire";17;3001314;;;;N;;;;
"Schedule(3001035)";504;"GTBQIDMCRC/Programming.Ventil.monobloc-P1-E1-horaire";17;3001035;;;;N;;;;
"Trendlog(3010621)";504;"GTBQIDMCRC/MSTP1.FEC20.comptage-eau-du-lac mesure.Tendance1";20;3010621;;;;N;;;;
"Trendlog(3010620)";504;"GTBQIDMCRC/MSTP1.TUC38.AV-37.Tendance1";20;3010620;;;;N;;;;
"Trendlog(3010619)";504;"GTBQIDMCRC/MSTP1.TUC38.AV-44.Tendance1";20;3010619;;;;N;;;;
"Trendlog(3010618)";504;"GTBQIDMCRC/MSTP1.TUC38.AI-4.Tendance1";20;3010618;;;;N;;;;
"Trendlog(3010617)";504;"GTBQIDMCRC/MSTP1.TUC38.AV-3.Tendance1";20;3010617;;;;N;;;;
"Trendlog(3010616)";504;"GTBQIDMCRC/MSTP1.FX36.AI-4.Tendance1";20;3010616;;;;N;;;;
"Trendlog(3010615)";504;"GTBQIDMCRC/MSTP1.FX36.AV-37.Tendance1";20;3010615;;;;N;;;;
"Trendlog(3010614)";504;"GTBQIDMCRC/MSTP1.FX36.AV-44.Tendance1";20;3010614;;;;N;;;;
"Trendlog(3010613)";504;"GTBQIDMCRC/MSTP1.FX36.AV-3.Tendance1";20;3010613;;;;N;;;;
"Trendlog(3010612)";504;"GTBQIDMCRC/MSTP1.TUC43.AI-4.Tendance1";20;3010612;;;;N;;;;
"Trendlog(3010611)";504;"GTBQIDMCRC/MSTP1.TUC43.AV-37.Tendance1";20;3010611;;;;N;;;;
"Trendlog(3010610)";504;"GTBQIDMCRC/MSTP1.TUC43.AV-44.Tendance1";20;3010610;;;;N;;;;
"Trendlog(3010609)";504;"GTBQIDMCRC/MSTP1.TUC43.AV-3.Tendance1";20;3010609;;;;N;;;;
"Trendlog(3010608)";504;"GTBQIDMCRC/MSTP1.TUC63.AI-4.Tendance1";20;3010608;;;;N;;;;
"Trendlog(3010607)";504;"GTBQIDMCRC/MSTP1.TUC63.AV-37.Tendance1";20;3010607;;;;N;;;;
"Trendlog(3010606)";504;"GTBQIDMCRC/MSTP1.TUC63.AV-44.Tendance1";20;3010606;;;;N;;;;
"Trendlog(3010605)";504;"GTBQIDMCRC/MSTP1.TUC63.AV-3.Tendance1";20;3010605;;;;N;;;;
"Trendlog(3010604)";504;"GTBQIDMCRC/MSTP1.TUC62.AI-4.Tendance1";20;3010604;;;;N;;;;
"Trendlog(3010603)";504;"GTBQIDMCRC/MSTP1.TUC62.AV-37.Tendance1";20;3010603;;;;N;;;;
"Trendlog(3010602)";504;"GTBQIDMCRC/MSTP1.TUC62.AV-44.Tendance1";20;3010602;;;;N;;;;
"Trendlog(3010601)";504;"GTBQIDMCRC/MSTP1.TUC62.AV-3.Tendance1";20;3010601;;;;N;;;;
"Trendlog(3010600)";504;"GTBQIDMCRC/MSTP1.TUC61.AI-4.Tendance1";20;3010600;;;;N;;;;
"Trendlog(3010599)";504;"GTBQIDMCRC/MSTP1.TUC61.AV-37.Tendance1";20;3010599;;;;N;;;;
"Trendlog(3010598)";504;"GTBQIDMCRC/MSTP1.TUC61.AV-44.Tendance1";20;3010598;;;;N;;;;
"Trendlog(3010597)";504;"GTBQIDMCRC/MSTP1.TUC61.AV-3.Tendance1";20;3010597;;;;N;;;;
"Trendlog(3010596)";504;"GTBQIDMCRC/MSTP1.TUC60.AI-4.Tendance1";20;3010596;;;;N;;;;
"Trendlog(3010595)";504;"GTBQIDMCRC/MSTP1.TUC60.AV-37.Tendance1";20;3010595;;;;N;;;;
"Trendlog(3010594)";504;"GTBQIDMCRC/MSTP1.TUC60.AV-44.Tendance1";20;3010594;;;;N;;;;
"Trendlog(3010593)";504;"GTBQIDMCRC/MSTP1.TUC60.AV-3.Tendance1";20;3010593;;;;N;;;;
"Trendlog(3010592)";504;"GTBQIDMCRC/MSTP1.FX59.AV-37.Tendance1";20;3010592;;;;N;;;;
